,IMDb Id,Adversaries/Others(split)
0,0562828,Shadow
1,0562828,Schoolgirl
2,0562828,Policeman
3,0562828,Schoolboy
4,0782279,Za
5,0782279,Hur
6,0782279,Old Mother
7,0782279,Kal
8,0782279,Horg
9,0782279,Tribesman
10,0782279,Member of Tribe
11,0782279,Child
12,0782279,Tribeswoman
13,0805109,Old Mother
14,0805109,Hur
15,0805109,Za
16,0805109,Kal
17,0805109,Horg
18,0805109,Child
19,0813250,Horg
20,0813250,Kal
21,0813250,Hur
22,0813250,Za
23,0819441,Dalek Voices
24,0819441,Dalek
25,0819441,Thal
26,0777345,Temmosus
27,0777345,Alydon
28,0777345,Dyoni
29,0777345,Ganatus
30,0777345,Dalek Voices
31,0777345,Dalek
32,0777345,Young Thal Woman
33,0777345,Thal
34,0819440,Temmosus
35,0819440,Alydon
36,0819440,Ganatus
37,0819440,Dyoni
38,0819440,Antodus
39,0819440,Kristas
40,0819440,Elyon
41,0819440,Dalek Voices
42,0819440,Dalek
43,0769064,Alydon
44,0769064,Ganatus
45,0769064,Dyoni
46,0769064,Antodus
47,0769064,Kristas
48,0769064,Elyon
49,0769064,Dalek Voices
50,0769064,Dalek
51,0769065,Alydon
52,0769065,Ganatus
53,0769065,Dyoni
54,0769065,Antodus
55,0769065,Kristas
56,0769065,Dalek Voices
57,0769065,Dalek
58,0769065,Elyon
59,0777344,Ganatus
60,0777344,Antodus
61,0777344,Kristas
62,0777344,Alydon
63,0777344,Dyoni
64,0777344,Dalek Voices
65,0777344,Dalek
66,0777344,Thal
67,0562858,Marco Polo
68,0562858,Tegana
69,0562858,Ping-Cho
70,0562858,Man at Lop
71,0562858,Mongol Warrior
72,0562858,Yeng
73,0562858,Chinese Lady
74,0562858,Attendant to Ping-Cho
75,0562858,Attendant
76,0562858,Marco Polo's Hand
77,0769067,Marco Polo
78,0769067,Tegana
79,0769067,Ping-Cho
80,0769067,Mongol Warrior
81,0769067,Attendant on Ping-Cho
82,0769067,Marco Polo's Hand
83,0809982,Marco Polo
84,0809982,Tegana
85,0809982,Ping-Cho
86,0809982,Chenchu
87,0809982,Malik
88,0809982,Acomat
89,0809982,Mongol Warrior
90,0809982,Chinese Villager
91,0809982,Mongol Porter
92,0809982,Chinese Lady of Quality
93,0809982,Attendant on Ping-Cho
94,0809982,Attendant
95,0809982,Marco Polo's Hand
96,0769068,Marco Polo
97,0769068,Tegana
98,0769068,Ping-Cho
99,0769068,Chenchu
100,0769068,Acomat
101,0769068,Mongol Warrior
102,0769068,Caravan Bearer
103,0769068,Servant at Waystation
104,0769068,Mongal Bandit
105,0769068,Marco Polo's Hand
106,0805214,Marco Polo
107,0805214,Tegana
108,0805214,Ping-Cho
109,0805214,Acomat
110,0805214,Mongol Bandit
111,0805214,Ling-Tau
112,0805214,Wang-Lo
113,0805214,Kuiju
114,0805214,Caravan Warrior
115,0805214,Attendant at Wang-Lo's Inn
116,0805214,Noblewoman
117,0805214,Chinese Lady of Quality
118,0805214,Marco Polo's Hand
119,0769059,Marco Polo
120,0769059,Tegana
121,0769059,Ping-Cho
122,0769059,Kuiju
123,0769059,Wang-Lo
124,0769059,Vizier
125,0769059,Kublai Khan
126,0769059,Office Foreman
127,0769059,Guard
128,0769059,Spittoon Bearer
129,0769059,Court Lady
130,0769059,Court Nobleman
131,0769059,Attendant
132,0769059,Male Courtier
133,0769059,Marco Polo's Hand
134,0809981,Marco Polo
135,0809981,Tegana
136,0809981,Ping-Cho
137,0809981,Kublai Khan
138,0809981,The Empress
139,0809981,Ling-Tau
140,0809981,Kuiju
141,0809981,Vizier
142,0809981,Palace Guard
143,0809981,Attendant to the Empress
144,0809981,Spittoon Bearer
145,0809981,Courtier
146,0809981,Court Lady
147,0809981,Office Foreman
148,0562926,Arbitan
149,0562926,Voord
150,0809986,Altos
151,0809986,Sabetha
152,0809986,Voice of Morpho
153,0769066,Altos
154,0769066,Sabetha
155,0769066,Warrior
156,0769066,Darrius
157,0809984,Altos
158,0809984,Sabetha
159,0809984,Vasor
160,0809984,Ice Soldier
