,Story,Serial,Episode,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
1,1,1,1,An Unearthly Child,"""An Unearthly Child""",Waris Hussein,Anthony Coburn and C. E. Webber (uncredited),1963-11-23,A,4.4,63,1,First Doctor,William Hartnell
2,1,1,2,An Unearthly Child,"""The Cave of Skulls""",Waris Hussein,Anthony Coburn,1963-11-30,A,5.9,59,1,First Doctor,William Hartnell
3,1,1,3,An Unearthly Child,"""The Forest of Fear""",Waris Hussein,Anthony Coburn,1963-12-07,A,6.9,56,1,First Doctor,William Hartnell
4,1,1,4,An Unearthly Child,"""The Firemaker""",Waris Hussein,Anthony Coburn,1963-12-14,A,6.4,55,1,First Doctor,William Hartnell
5,2,2,5,The Daleks,"""The Dead Planet""",Christopher Barry,Terry Nation,1963-12-21,B,6.9,59,1,First Doctor,William Hartnell
6,2,2,6,The Daleks,"""The Survivors""",Christopher Barry,Terry Nation,1963-12-28,B,6.4,58,1,First Doctor,William Hartnell
7,2,2,7,The Daleks,"""The Escape""",Richard Martin,Terry Nation,1964-01-04,B,8.9,63,1,First Doctor,William Hartnell
8,2,2,8,The Daleks,"""The Ambush""",Christopher Barry,Terry Nation,1964-01-11,B,9.9,63,1,First Doctor,William Hartnell
9,2,2,9,The Daleks,"""The Expedition""",Christopher Barry,Terry Nation,1964-01-18,B,9.9,63,1,First Doctor,William Hartnell
10,2,2,10,The Daleks,"""The Ordeal""",Richard Martin,Terry Nation,1964-01-25,B,10.4,63,1,First Doctor,William Hartnell
11,2,2,11,The Daleks,"""The Rescue""",Richard Martin,Terry Nation,1964-02-01,B,10.4,65,1,First Doctor,William Hartnell
12,3,3,12,The Edge of Destruction,"""The Edge of Destruction""",Richard Martin,David Whitaker,1964-02-08,C,10.4,61,1,First Doctor,William Hartnell
13,3,3,13,The Edge of Destruction,"""The Brink of Disaster""",Frank Cox,David Whitaker,1964-02-15,C,9.9,60,1,First Doctor,William Hartnell
14,4,4,14,Marco Polo,"""The Roof of the World""†",Waris Hussein,John Lucarotti,1964-02-22,D,9.4,63,1,First Doctor,William Hartnell
15,4,4,15,Marco Polo,"""The Singing Sands""†",Waris Hussein,John Lucarotti,1964-02-29,D,9.4,62,1,First Doctor,William Hartnell
16,4,4,16,Marco Polo,"""Five Hundred Eyes""†",Waris Hussein,John Lucarotti,1964-03-07,D,9.4,62,1,First Doctor,William Hartnell
17,4,4,17,Marco Polo,"""The Wall of Lies""†",John Crockett,John Lucarotti,1964-03-14,D,9.9,60,1,First Doctor,William Hartnell
18,4,4,18,Marco Polo,"""Rider from Shang-Tu""†",Waris Hussein,John Lucarotti,1964-03-21,D,9.4,59,1,First Doctor,William Hartnell
19,4,4,19,Marco Polo,"""Mighty Kublai Khan""†",Waris Hussein,John Lucarotti,1964-03-28,D,8.4,59,1,First Doctor,William Hartnell
20,4,4,20,Marco Polo,"""Assassin at Peking""†",Waris Hussein,John Lucarotti,1964-04-04,D,10.4,59,1,First Doctor,William Hartnell
21,5,5,21,The Keys of Marinus,"""The Sea of Death""",John Gorrie,Terry Nation,1964-04-11,E,9.9,62,1,First Doctor,William Hartnell
22,5,5,22,The Keys of Marinus,"""The Velvet Web""",John Gorrie,Terry Nation,1964-04-18,E,9.4,60,1,First Doctor,William Hartnell
23,5,5,23,The Keys of Marinus,"""The Screaming Jungle""",John Gorrie,Terry Nation,1964-04-25,E,9.9,61,1,First Doctor,William Hartnell
24,5,5,24,The Keys of Marinus,"""The Snows of Terror""",John Gorrie,Terry Nation,1964-05-02,E,10.4,60,1,First Doctor,William Hartnell
25,5,5,25,The Keys of Marinus,"""Sentence of Death""",John Gorrie,Terry Nation,1964-05-09,E,7.9,61,1,First Doctor,William Hartnell
26,5,5,26,The Keys of Marinus,"""The Keys of Marinus""",John Gorrie,Terry Nation,1964-05-16,E,6.9,63,1,First Doctor,William Hartnell
27,6,6,27,The Aztecs,"""The Temple of Evil""",John Crockett,John Lucarotti,1964-05-23,F,7.4,62,1,First Doctor,William Hartnell
28,6,6,28,The Aztecs,"""The Warriors of Death""",John Crockett,John Lucarotti,1964-05-30,F,7.4,62,1,First Doctor,William Hartnell
29,6,6,29,The Aztecs,"""The Bride of Sacrifice""",John Crockett,John Lucarotti,1964-06-06,F,7.9,57,1,First Doctor,William Hartnell
30,6,6,30,The Aztecs,"""The Day of Darkness""",John Crockett,John Lucarotti,1964-06-13,F,7.4,58,1,First Doctor,William Hartnell
31,7,7,31,The Sensorites,"""Strangers in Space""",Mervyn Pinfield,Peter R. Newman,1964-06-20,G,7.9,59,1,First Doctor,William Hartnell
32,7,7,32,The Sensorites,"""The Unwilling Warriors""",Mervyn Pinfield,Peter R. Newman,1964-06-27,G,6.9,59,1,First Doctor,William Hartnell
33,7,7,33,The Sensorites,"""Hidden Danger""",Mervyn Pinfield,Peter R. Newman,1964-07-11,G,7.4,56,1,First Doctor,William Hartnell
34,7,7,34,The Sensorites,"""A Race Against Death""",Mervyn Pinfield,Peter R. Newman,1964-07-18,G,5.5,60,1,First Doctor,William Hartnell
35,7,7,35,The Sensorites,"""Kidnap""",Frank Cox,Peter R. Newman,1964-07-25,G,6.9,57,1,First Doctor,William Hartnell
36,7,7,36,The Sensorites,"""A Desperate Venture""",Frank Cox,Peter R. Newman,1964-08-01,G,6.9,57,1,First Doctor,William Hartnell
37,8,8,37,The Reign of Terror,"""A Land of Fear""",Henric Hirsch,Dennis Spooner,1964-08-08,H,6.9,58,1,First Doctor,William Hartnell
38,8,8,38,The Reign of Terror,"""Guests of Madame Guillotine""",Henric Hirsch,Dennis Spooner,1964-08-15,H,6.9,54,1,First Doctor,William Hartnell
39,8,8,39,The Reign of Terror,"""A Change of Identity""",Henric Hirsch,Dennis Spooner,1964-08-22,H,6.9,55,1,First Doctor,William Hartnell
40,8,8,40,The Reign of Terror,"""The Tyrant of France""†",Henric Hirsch,Dennis Spooner,1964-08-29,H,6.4,53,1,First Doctor,William Hartnell
41,8,8,41,The Reign of Terror,"""A Bargain of Necessity""†",Henric Hirsch,Dennis Spooner,1964-09-05,H,6.9,53,1,First Doctor,William Hartnell
42,8,8,42,The Reign of Terror,"""Prisoners of Conciergerie""",Henric Hirsch,Dennis Spooner,1964-09-12,H,6.4,55,1,First Doctor,William Hartnell
43,9,1,1,Planet of Giants,"""Planet of Giants""",Mervyn Pinfield,Louis Marks,1964-10-31,J,8.4,57,2,First Doctor,William Hartnell
44,9,1,2,Planet of Giants,"""Dangerous Journey""",Mervyn Pinfield,Louis Marks,1964-11-07,J,8.4,58,2,First Doctor,William Hartnell
45,9,1,3,Planet of Giants,"""Crisis""",Douglas Camfield,Louis Marks,1964-11-14,J,8.9,59,2,First Doctor,William Hartnell
46,10,2,4,The Dalek Invasion of Earth,"""World's End""",Richard Martin,Terry Nation,1964-11-21,K,11.4,63,2,First Doctor,William Hartnell
47,10,2,5,The Dalek Invasion of Earth,"""The Daleks""",Richard Martin,Terry Nation,1964-11-28,K,12.4,59,2,First Doctor,William Hartnell
48,10,2,6,The Dalek Invasion of Earth,"""Day of Reckoning""",Richard Martin,Terry Nation,1964-12-05,K,11.9,59,2,First Doctor,William Hartnell
49,10,2,7,The Dalek Invasion of Earth,"""The End of Tomorrow""",Richard Martin,Terry Nation,1964-12-12,K,11.9,59,2,First Doctor,William Hartnell
50,10,2,8,The Dalek Invasion of Earth,"""The Waking Ally""",Richard Martin,Terry Nation,1964-12-19,K,11.4,58,2,First Doctor,William Hartnell
51,10,2,9,The Dalek Invasion of Earth,"""Flashpoint""",Richard Martin,Terry Nation,1964-12-26,K,12.4,63,2,First Doctor,William Hartnell
52,11,3,10,The Rescue,"""The Powerful Enemy""",Christopher Barry,David Whitaker,1965-01-02,L,12.0,57,2,First Doctor,William Hartnell
53,11,3,11,The Rescue,"""Desperate Measures""",Christopher Barry,David Whitaker,1965-01-09,L,13.0,59,2,First Doctor,William Hartnell
54,12,4,12,The Romans,"""The Slave Traders""",Christopher Barry,Dennis Spooner,1965-01-16,M,13.0,53,2,First Doctor,William Hartnell
55,12,4,13,The Romans,"""All Roads Lead to Rome""",Christopher Barry,Dennis Spooner,1965-01-23,M,11.5,51,2,First Doctor,William Hartnell
56,12,4,14,The Romans,"""Conspiracy""",Christopher Barry,Dennis Spooner,1965-01-30,M,10.0,50,2,First Doctor,William Hartnell
57,12,4,15,The Romans,"""Inferno""",Christopher Barry,Dennis Spooner,1965-02-06,M,12.0,50,2,First Doctor,William Hartnell
58,13,5,16,The Web Planet,"""The Web Planet""",Richard Martin,Bill Strutton,1965-02-13,N,13.5,56,2,First Doctor,William Hartnell
59,13,5,17,The Web Planet,"""The Zarbi""",Richard Martin,Bill Strutton,1965-02-20,N,12.5,53,2,First Doctor,William Hartnell
60,13,5,18,The Web Planet,"""Escape to Danger""",Richard Martin,Bill Strutton,1965-02-27,N,12.5,53,2,First Doctor,William Hartnell
61,13,5,19,The Web Planet,"""Crater of Needles""",Richard Martin,Bill Strutton,1965-03-06,N,13.0,49,2,First Doctor,William Hartnell
62,13,5,20,The Web Planet,"""Invasion""",Richard Martin,Bill Strutton,1965-03-13,N,12.0,48,2,First Doctor,William Hartnell
63,13,5,21,The Web Planet,"""The Centre""",Richard Martin,Bill Strutton,1965-03-20,N,11.5,42,2,First Doctor,William Hartnell
64,14,6,22,The Crusade,"""The Lion""",Douglas Camfield,David Whitaker,1965-03-27,P,10.5,51,2,First Doctor,William Hartnell
65,14,6,23,The Crusade,"""The Knight of Jaffa""†",Douglas Camfield,David Whitaker,1965-04-03,P,8.5,50,2,First Doctor,William Hartnell
66,14,6,24,The Crusade,"""The Wheel of Fortune""",Douglas Camfield,David Whitaker,1965-04-10,P,9.0,49,2,First Doctor,William Hartnell
67,14,6,25,The Crusade,"""The Warlords""†",Douglas Camfield,David Whitaker,1965-04-17,P,9.5,48,2,First Doctor,William Hartnell
68,15,7,26,The Space Museum,"""The Space Museum""",Mervyn Pinfield,Glyn Jones,1965-04-24,Q,10.5,61,2,First Doctor,William Hartnell
69,15,7,27,The Space Museum,"""The Dimensions of Time""",Mervyn Pinfield,Glyn Jones,1965-05-01,Q,9.2,53,2,First Doctor,William Hartnell
70,15,7,28,The Space Museum,"""The Search""",Mervyn Pinfield,Glyn Jones,1965-05-08,Q,8.5,56,2,First Doctor,William Hartnell
71,15,7,29,The Space Museum,"""The Final Phase""",Mervyn Pinfield,Glyn Jones,1965-05-15,Q,8.5,49,2,First Doctor,William Hartnell
72,16,8,30,The Chase,"""The Executioners""",Richard Martin,Terry Nation,1965-05-22,R,10.0,57,2,First Doctor,William Hartnell
73,16,8,31,The Chase,"""The Death of Time""",Richard Martin,Terry Nation,1965-05-29,R,9.5,56,2,First Doctor,William Hartnell
