,Story,Serial,Episode,Serial title,Episode Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
1,1,1.0,1,An Unearthly Child,"""An Unearthly Child""",Waris Hussein,Anthony Coburn and C. E. Webber (uncredited),1963-11-23,A,4.4,63,1,First Doctor,William Hartnell
2,1,1.0,2,An Unearthly Child,"""The Cave of Skulls""",Waris Hussein,Anthony Coburn,1963-11-30,A,5.9,59,1,First Doctor,William Hartnell
3,1,1.0,3,An Unearthly Child,"""The Forest of Fear""",Waris Hussein,Anthony Coburn,1963-12-07,A,6.9,56,1,First Doctor,William Hartnell
4,1,1.0,4,An Unearthly Child,"""The Firemaker""",Waris Hussein,Anthony Coburn,1963-12-14,A,6.4,55,1,First Doctor,William Hartnell
5,2,2.0,5,The Daleks,"""The Dead Planet""",Christopher Barry,Terry Nation,1963-12-21,B,6.9,59,1,First Doctor,William Hartnell
6,2,2.0,6,The Daleks,"""The Survivors""",Christopher Barry,Terry Nation,1963-12-28,B,6.4,58,1,First Doctor,William Hartnell
7,2,2.0,7,The Daleks,"""The Escape""",Richard Martin,Terry Nation,1964-01-04,B,8.9,63,1,First Doctor,William Hartnell
8,2,2.0,8,The Daleks,"""The Ambush""",Christopher Barry,Terry Nation,1964-01-11,B,9.9,63,1,First Doctor,William Hartnell
9,2,2.0,9,The Daleks,"""The Expedition""",Christopher Barry,Terry Nation,1964-01-18,B,9.9,63,1,First Doctor,William Hartnell
10,2,2.0,10,The Daleks,"""The Ordeal""",Richard Martin,Terry Nation,1964-01-25,B,10.4,63,1,First Doctor,William Hartnell
11,2,2.0,11,The Daleks,"""The Rescue""",Richard Martin,Terry Nation,1964-02-01,B,10.4,65,1,First Doctor,William Hartnell
12,3,3.0,12,The Edge of Destruction,"""The Edge of Destruction""",Richard Martin,David Whitaker,1964-02-08,C,10.4,61,1,First Doctor,William Hartnell
13,3,3.0,13,The Edge of Destruction,"""The Brink of Disaster""",Frank Cox,David Whitaker,1964-02-15,C,9.9,60,1,First Doctor,William Hartnell
