,Story,Episode,Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
1,157,1,"""Rose""",Keith Boak,Russell T Davies,2005-03-26,1.1,10.81,76,1,Ninth Doctor,Christopher Eccleston
2,158,2,"""The End of the World""",Euros Lyn,Russell T Davies,2005-04-02,1.2,7.97,76,1,Ninth Doctor,Christopher Eccleston
3,159,3,"""The Unquiet Dead""",Euros Lyn,Mark Gatiss,2005-04-09,1.3,8.86,80,1,Ninth Doctor,Christopher Eccleston
4,160,4,"""Aliens of London""",Keith Boak,Russell T Davies,2005-04-16,1.4,7.63,82,1,Ninth Doctor,Christopher Eccleston
5,160,5,"""World War Three""",Keith Boak,Russell T Davies,2005-04-23,1.5,7.98,81,1,Ninth Doctor,Christopher Eccleston
6,161,6,"""Dalek""",Joe Ahearne,Robert Shearman,2005-04-30,1.6,8.63,84,1,Ninth Doctor,Christopher Eccleston
7,162,7,"""The Long Game""",Brian Grant,Russell T Davies,2005-05-07,1.7,8.01,81,1,Ninth Doctor,Christopher Eccleston
8,163,8,"""Father's Day""",Joe Ahearne,Paul Cornell,2005-05-14,1.8,8.06,83,1,Ninth Doctor,Christopher Eccleston
9,164,9,"""The Empty Child""",James Hawes,Steven Moffat,2005-05-21,1.9,7.11,84,1,Ninth Doctor,Christopher Eccleston
10,164,10,"""The Doctor Dances""",James Hawes,Steven Moffat,2005-05-28,1.1,6.86,85,1,Ninth Doctor,Christopher Eccleston
11,165,11,"""Boom Town""",Joe Ahearne,Russell T Davies,2005-06-04,1.11,7.68,82,1,Ninth Doctor,Christopher Eccleston
12,166,12,"""Bad Wolf""",Joe Ahearne,Russell T Davies,2005-06-11,1.12,6.81,86,1,Ninth Doctor,Christopher Eccleston
13,166,13,"""The Parting of the Ways""",Joe Ahearne,Russell T Davies,2005-06-18,1.13,6.91,89,1,Ninth Doctor,Christopher Eccleston
14,167,13,"""The Christmas Invasion""",James Hawes,Russell T Davies,2005-12-25,2X,9.84,84,2,Tenth Doctor,David Tennant
15,168,1,"""New Earth""",James Hawes,Russell T Davies,2006-04-15,2.1,8.62,85,2,Tenth Doctor,David Tennant
16,169,2,"""Tooth and Claw""",Euros Lyn,Russell T Davies,2006-04-22,2.2,9.24,83,2,Tenth Doctor,David Tennant
17,170,3,"""School Reunion""",James Hawes,Toby Whithouse,2006-04-29,2.3,8.31,85,2,Tenth Doctor,David Tennant
18,171,4,"""The Girl in the Fireplace""",Euros Lyn,Steven Moffat,2006-05-06,2.4,7.9,84,2,Tenth Doctor,David Tennant
19,172,5,"""Rise of the Cybermen""",Graeme Harper,Tom MacRae,2006-05-13,2.5,9.22,86,2,Tenth Doctor,David Tennant
20,172,6,"""The Age of Steel""",Graeme Harper,Tom MacRae,2006-05-20,2.6,7.63,86,2,Tenth Doctor,David Tennant
21,173,7,"""The Idiot's Lantern""",Euros Lyn,Mark Gatiss,2006-05-27,2.7,6.76,84,2,Tenth Doctor,David Tennant
22,174,8,"""The Impossible Planet""",James Strong,Matt Jones,2006-06-03,2.8,6.32,85,2,Tenth Doctor,David Tennant
23,174,9,"""The Satan Pit""",James Strong,Matt Jones,2006-06-10,2.9,6.08,86,2,Tenth Doctor,David Tennant
24,175,10,"""Love & Monsters""",Dan Zeff,Russell T Davies,2006-06-17,2.10,6.66,76,2,Tenth Doctor,David Tennant
25,176,11,"""Fear Her""",Euros Lyn,Matthew Graham,2006-06-24,2.11,7.14,83,2,Tenth Doctor,David Tennant
26,177,12,"""Army of Ghosts""",Graeme Harper,Russell T Davies,2006-07-01,2.12,8.19,86,2,Tenth Doctor,David Tennant
27,177,13,"""Doomsday""",Graeme Harper,Russell T Davies,2006-07-08,2.13,8.22,89,2,Tenth Doctor,David Tennant
28,178,13,"""The Runaway Bride""",Euros Lyn,Russell T Davies,2006-12-25,3X,9.35,84,3,Tenth Doctor,David Tennant
29,179,1,"""Smith and Jones""",Charles Palmer,Russell T Davies,2007-03-31,3.1,8.71,88,3,Tenth Doctor,David Tennant
30,180,2,"""The Shakespeare Code""",Charles Palmer,Gareth Roberts,2007-04-07,3.2,7.23,87,3,Tenth Doctor,David Tennant
31,181,3,"""Gridlock""",Richard Clark,Russell T Davies,2007-04-14,3.3,8.41,85,3,Tenth Doctor,David Tennant
32,182,4,"""Daleks in Manhattan""",James Strong,Helen Raynor,2007-04-21,3.4,6.69,86,3,Tenth Doctor,David Tennant
33,182,5,"""Evolution of the Daleks""",James Strong,Helen Raynor,2007-04-28,3.5,6.97,85,3,Tenth Doctor,David Tennant
34,183,6,"""The Lazarus Experiment""",Richard Clark,Stephen Greenhorn,2007-05-05,3.6,7.19,86,3,Tenth Doctor,David Tennant
35,184,7,"""42""",Graeme Harper,Chris Chibnall,2007-05-19,3.7,7.41,85,3,Tenth Doctor,David Tennant
36,185,8,"""Human Nature""",Charles Palmer,Paul Cornell,2007-05-26,3.8,7.74,86,3,Tenth Doctor,David Tennant
37,185,9,"""The Family of Blood""",Charles Palmer,Paul Cornell,2007-06-02,3.9,7.21,86,3,Tenth Doctor,David Tennant
38,186,10,"""Blink""",Hettie MacDonald,Steven Moffat,2007-06-09,3.10,6.62,87,3,Tenth Doctor,David Tennant
39,187,11,"""Utopia""",Graeme Harper,Russell T Davies,2007-06-16,3.11,7.84,87,3,Tenth Doctor,David Tennant
40,187,12,"""The Sound of Drums""",Colin Teague,Russell T Davies,2007-06-23,3.12,7.51,87,3,Tenth Doctor,David Tennant
41,187,13,"""Last of the Time Lords""",Colin Teague,Russell T Davies,2007-06-30,3.13,8.61,88,3,Tenth Doctor,David Tennant
42,188,13,"""Voyage of the Damned""",James Strong,Russell T Davies,2007-12-25,4X,13.31,86,4,Tenth Doctor,David Tennant
43,189,1,"""Partners in Crime""",James Strong,Russell T Davies,2008-04-05,4.1,9.14,88,4,Tenth Doctor,David Tennant
44,190,2,"""The Fires of Pompeii""",Colin Teague,James Moran,2008-04-12,4.3,9.04,87,4,Tenth Doctor,David Tennant
45,191,3,"""Planet of the Ood""",Graeme Harper,Keith Temple,2008-04-19,4.2,7.5,87,4,Tenth Doctor,David Tennant
46,192,4,"""The Sontaran Stratagem""",Douglas Mackinnon,Helen Raynor,2008-04-26,4.4,7.06,87,4,Tenth Doctor,David Tennant
47,192,5,"""The Poison Sky""",Douglas Mackinnon,Helen Raynor,2008-05-03,4.5,6.53,88,4,Tenth Doctor,David Tennant
48,193,6,"""The Doctor's Daughter""",Alice Troughton,Stephen Greenhorn,2008-05-10,4.6,7.33,88,4,Tenth Doctor,David Tennant
49,194,7,"""The Unicorn and the Wasp""",Graeme Harper,Gareth Roberts,2008-05-17,4.7,8.41,86,4,Tenth Doctor,David Tennant
50,195,8,"""Silence in the Library""",Euros Lyn,Steven Moffat,2008-05-31,4.9,6.27,89,4,Tenth Doctor,David Tennant
51,195,9,"""Forest of the Dead""",Euros Lyn,Steven Moffat,2008-06-07,4.10,7.84,89,4,Tenth Doctor,David Tennant
52,196,10,"""Midnight""",Alice Troughton,Russell T Davies,2008-06-14,4.8,8.05,86,4,Tenth Doctor,David Tennant
53,197,11,"""Turn Left""",Graeme Harper,Russell T Davies,2008-06-21,4.11,8.09,88,4,Tenth Doctor,David Tennant
54,198,12,"""The Stolen Earth""",Graeme Harper,Russell T Davies,2008-06-28,4.12,8.78,91,4,Tenth Doctor,David Tennant
55,198,13,"""Journey's End""",Graeme Harper,Russell T Davies,2008-07-05,4.13,10.57,91,4,Tenth Doctor,David Tennant
56,199,1,"""The Next Doctor""",Andy Goddard,Russell T Davies,2008-12-25,4.14,13.1,86,4,Tenth Doctor,David Tennant
57,200,2,"""Planet of the Dead""",James Strong,Russell T Davies & Gareth Roberts,2009-04-11,4.15,9.75,88,4,Tenth Doctor,David Tennant
58,201,3,"""The Waters of Mars""",Graeme Harper,Russell T Davies & Phil Ford,2009-11-15,4.16,10.32,88,4,Tenth Doctor,David Tennant
59,202,4,"""The End of Time – Part One""",Euros Lyn,Russell T Davies,2009-12-25,4.17,12.04,87,4,Tenth Doctor,David Tennant
60,202,5,"""The End of Time – Part Two""",Euros Lyn,Russell T Davies,2010-01-01,4.18,12.27,89,4,Tenth Doctor,David Tennant
61,203,1,"""The Eleventh Hour""",Adam Smith,Steven Moffat,2010-04-03,1.1,10.09,86,5,Eleventh Doctor,Matt Smith
62,204,2,"""The Beast Below""",Andrew Gunn,Steven Moffat,2010-04-10,1.2,8.42,86,5,Eleventh Doctor,Matt Smith
63,205,3,"""Victory of the Daleks""",Andrew Gunn,Mark Gatiss,2010-04-17,1.3,8.21,84,5,Eleventh Doctor,Matt Smith
64,206,4,"""The Time of Angels""",Adam Smith,Steven Moffat,2010-04-24,1.4,8.59,87,5,Eleventh Doctor,Matt Smith
65,206,5,"""Flesh and Stone""",Adam Smith,Steven Moffat,2010-05-01,1.5,8.5,86,5,Eleventh Doctor,Matt Smith
66,207,6,"""The Vampires of Venice""",Jonny Campbell,Toby Whithouse,2010-05-08,1.6,7.68,86,5,Eleventh Doctor,Matt Smith
67,208,7,"""Amy's Choice""",Catherine Morshead,Simon Nye,2010-05-15,1.7,7.55,84,5,Eleventh Doctor,Matt Smith
68,209,8,"""The Hungry Earth""",Ashley Way,Chris Chibnall,2010-05-22,1.8,6.49,86,5,Eleventh Doctor,Matt Smith
69,209,9,"""Cold Blood""",Ashley Way,Chris Chibnall,2010-05-29,1.9,7.49,85,5,Eleventh Doctor,Matt Smith
70,210,10,"""Vincent and the Doctor""",Jonny Campbell,Richard Curtis,2010-06-05,1.1,6.76,86,5,Eleventh Doctor,Matt Smith
71,211,11,"""The Lodger""",Catherine Morshead,Gareth Roberts,2010-06-12,1.11,6.44,87,5,Eleventh Doctor,Matt Smith
72,212,12,"""The Pandorica Opens""",Toby Haynes,Steven Moffat,2010-06-19,1.12,7.57,88,5,Eleventh Doctor,Matt Smith
73,212,13,"""The Big Bang""",Toby Haynes,Steven Moffat,2010-06-26,1.13,6.7,89,5,Eleventh Doctor,Matt Smith
74,213,13,"""A Christmas Carol""",Toby Haynes,Steven Moffat,2010-12-25,2.X,12.11,83,6,Eleventh Doctor,Matt Smith
75,214,1,"""The Impossible Astronaut""",Toby Haynes,Steven Moffat,2011-04-23,2.1,8.86,88,6,Eleventh Doctor,Matt Smith
76,214,2,"""Day of the Moon""",Toby Haynes,Steven Moffat,2011-04-30,2.2,7.3,87,6,Eleventh Doctor,Matt Smith
77,215,3,"""The Curse of the Black Spot""",Jeremy Webb,Stephen Thompson,2011-05-07,2.9,7.85,86,6,Eleventh Doctor,Matt Smith
78,216,4,"""The Doctor's Wife""",Richard Clark,Neil Gaiman,2011-05-14,2.3,7.97,87,6,Eleventh Doctor,Matt Smith
79,217,5,"""The Rebel Flesh""",Julian Simpson,Matthew Graham,2011-05-21,2.5,7.35,85,6,Eleventh Doctor,Matt Smith
80,217,6,"""The Almost People""",Julian Simpson,Matthew Graham,2011-05-28,2.6,6.72,86,6,Eleventh Doctor,Matt Smith
